출발지/목적지 자동완성할때 리스트가 없는데 오버레이를 보여주는 문제 빈 오버레이가 보임,UI,성진,,
출발지/목적지 입력하고 여행 계획 짜는 버튼이 이렇게 화살표가 끝에 하나 더 붙어있음,UI,민준,,
인기 도시국가를 클릭시 목적지 국가를 채워주기만 하면 됨. 화면이 넘어감,기능,성진,,
여행날짜 정할 때 입력하는게 아니고 input 전체를 클릭했을 때  그냥 기본으로 datepicker가 열리게 했으면 좋겠음.  그리고 N박N일을 더 크게 보여주면 좋겠음,기능,민준,,
"출발지/목적기 정한 이후에 다음 단계로 넘어갔을 때, 이전 화면에서 고른 국가롤 자동 선택되지 않음",UX,성진,,
여행 스타일 선택 시에 여러개의 선택지를 한번에 보여주지 않고 하나 선택하면 그다음게 보이게 했으면 좋겠음,UX,민준,,
여행스타일 선택 시 더 자세히 알려주기에서 도보 이동 선호나 대중교통 선호 버튼이 안눌림,UI,성진,,
항공권 선택 페이지에서 수정 버튼이 있는데 이건 그냥 없애줘,UX,민준,,
"항공권 선택 페이지에서 가는시간 출발 시간대를 badge로 선택하게 해놨는데, linear한 timeline이나 원으로 구간으로 보여주고 그 구간을 선택할 수 있게 해줘",UI,성진,,
누구와 함께 가시나요? 에서 혼자를 눌렀을 때 인원수를 조정할 수 있는 문제,UX,민준,,
링크로 추가 버튼 → 내 계획 가져오기 버튼 (옆에 툴팁으로 설명해주기),,,,
dialog에는,,,,
                                   [구글 지도 링크 받기],,,,
                                   [예상 소요 시간 각 장소에서] 가 있으면좋을것같음,기능,출발지/목적지 자동완성할때 리스트가 없는데 오버레이를 보여주는 문제 빈 오버레이가 보임,UI,성진
항공권 선택 페이지에서 선호항공사 선택이 안돼,UI,출발지/목적지 입력하고 여행 계획 짜는 버튼이 이렇게 화살표가 끝에 하나 더 붙어있음,UI,민준
항공권을 찾는다고 했으면 항공권 선택 이후에 다음 단계로 넘어갈 수 있게 해줘 그리고 항공권을 선택할때 선택버튼 그냥 없애고 카드 클릭시에 선택되게. sorting도 지금은 작동안하네. 최저가와 최단시간 두개만 있으면 돼.,UX,인기 도시국가를 클릭시 목적지 국가를 채워주기만 하면 됨. 화면이 넘어감,기능,성진
숙소선택 페이지에서 수정 버튼이있는데 이건 그냥 없애줘,UI,여행날짜 정할 때 입력하는게 아니고 input 전체를 클릭했을 때  그냥 기본으로 datepicker가 열리게 했으면 좋겠음.  그리고 N박N일을 더 크게 보여주면 좋겠음,기능,민준
"숙소 페이지 전반적으로 택, 토글이 안된다. 그리고 1박 예산 드래깅을 할 떄, 현재 가격이 창에 안 뜸. ",UX,"출발지/목적기 정한 이후에 다음 단계로 넘어갔을 때, 이전 화면에서 고른 국가롤 자동 선택되지 않음",UX,성진
"숙소 선택 페이지에서 숙소를 선택하는건 잘 되는데, 숙소 각각을 상세히 보기 기능이 있으면 좋을 것 같아. 상세히 보기 기능을 누르면 큰 modal에 iframe에다가 해당 주소에 대한 구글 지도 검색 결과를 보여줬으면 좋겠어. 리뷰랑 사진같은게 궁금하니까",기능,여행 스타일 선택 시에 여러개의 선택지를 한번에 보여주지 않고 하나 선택하면 그다음게 보이게 했으면 좋겠음,UX,민준
"숙소를 찾아주길 원했으면, 선택이 완료되어야 다음 기능으로 넘어가게 해줘",UX,여행스타일 선택 시 더 자세히 알려주기에서 도보 이동 선호나 대중교통 선호 버튼이 안눌림,UI,성진
일정 페이지에서 각 일정 선택 시에 사용자 액티비티에 소요할 시간을 선택할 수가 없음. 추천 시간만 보여주는 구조,기능,항공권 선택 페이지에서 수정 버튼이 있는데 이건 그냥 없애줘,UX,민준
일정 페이지에서 지도 줌아웃/줌인 없는거 불편함,UX,"항공권 선택 페이지에서 가는시간 출발 시간대를 badge로 선택하게 해놨는데, linear한 timeline이나 원으로 구간으로 보여주고 그 구간을 선택할 수 있게 해줘",UI,성진
"가고싶은 곳 찾는거에서 채크박스를 없애고, 우하단에 일정에 추가하기 버튼으로 가고싶은 일정에 추가하게 해 줘. 그리고, 카드를 클릭했을 때 해당 장소에 대한 상세 설명을 modal로 보여주면 좋겠어.  modal에서 장소 설명과 예상 소요 시간, 리뷰 및 사진을 보여주면 좋겠어.",기능,누구와 함께 가시나요? 에서 혼자를 눌렀을 때 인원수를 조정할 수 있는 문제,UX,민준
"마지막 일정 짜는 기능에서 경로최적화 기능 없애줘. 일정 드래그엔드랍으로 동적으로 수정할 수 있게 해 줘. 장소 추가 버튼을 누르면 큰 modal을 띄워서 보여주는데, modal에서 큰 지도와 함께 가고싶은곳에서 찾은 장소 list를 보여주고 사용자가 선택할 수 있게 해 줘. 가고싶은 곳 선택 화면을보다 조금 작게 만들어 modal로 보여주는느낌. 그리고 일정 삭제 기능도 만들어줘. ",기능,링크로 추가 버튼 → 내 계획 가져오기 버튼 (옆에 툴팁으로 설명해주기),,
"검증 이후 화면에서 일정 공유하기로 바로 넘어가는데, 일정 저장하기로 바꾸고, 저장 완료 화면에서 공유할 수 있는 기능으로 만들어주면 좋을 것 같아. 같은 url로 들어가면 사용자가 같이 볼 수 있게 해 주고. 나도 만들어보기 버튼은 없어도 될 것 같아. ppt에서 슬라이드 발표하기 처럼, 일정 쭉 둘러보기 화면을 만들고, 지도를 배경으로 해서 각각의 일정을 시뮬레이션 해볼 수 있는 기능이 있으면 좋겠어.",기능,dialog에는,,
"사용자 페르소나 생성에서, 지금 설문지 형태만으로는 부족할 수 있을 것 같다. 사용자가 자연어로 동행하는 사람을 묘사하게 하는 기능이 있으면 좋을 것 같다.",기능,                                   [구글 지도 링크 받기],,
"지금 구조는 일정 초안 생성 → 검증 → 사용자가 몇 개 반영 → 끝 인데 , 환각 방지를 위해서는 초안 생성 → 검증 → 직접 사용자 페르소나를 여행 경로에 얹고 시뮬레이션 해보면서, 물리적 불가능 / 사용자 선호도 불일치 문제 발견 → 선호도 불일치 문제에 대해서 사용자 응답을 받고 페르소나에 반영한 후 replan → 반복 구조가 필요할 것 같다. 검증 이후에 사용자가 일정을 수정할 수 있는 기능으로 만들어줘.",기능,                                   [예상 소요 시간 각 장소에서] 가 있으면좋을것같음,기능,성진
,,항공권 선택 페이지에서 선호항공사 선택이 안돼,UI,민준
,,항공권을 찾는다고 했으면 항공권 선택 이후에 다음 단계로 넘어갈 수 있게 해줘 그리고 항공권을 선택할때 선택버튼 그냥 없애고 카드 클릭시에 선택되게. sorting도 지금은 작동안하네. 최저가와 최단시간 두개만 있으면 돼.,UX,성진
,,숙소선택 페이지에서 수정 버튼이있는데 이건 그냥 없애줘,UI,민준
